博物馆编号,标题,类型,描述,材料,尺寸,收录日期,链接,图片地址,制作时间
"1993,0414,0.1",album; painting,册页 | 绘画,十二开山水画册。纸本水墨设色。第一、二开为散页，第三至十二开为经折装。,纸,"高度：34厘米（每幅；约）  
宽度：44.40厘米（每幅；约）",1993.0,https://www.britishmuseum.org/collection/object/A_1993-0414-0-1,无图片,1953
"1877,0714,0.1215-1251",album; painting,册页 | 绘画,册页。船。中国船只。纸本水墨（欧洲）。,纸,高度：46.50厘米（册页）| 宽度：55.80厘米（册页）,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1215-1251,https://media.britishmuseum.org/media/Repository/Documents/2016_2/4_15/2bfb5a06_65c7_4bd1_8e02_a5a200fa48c7/1.jpg,1801-1850
"1993,1225,0.22",album; painting,册页 | 绘画,册页。八开。绘画。纸本水墨。梅、山茶蕉叶与菊、莲、牡丹白菜、月季及秋葵。,纸,高度：22.50厘米（每件） | 宽度：13.70厘米（每件）,1993.0,https://www.britishmuseum.org/collection/object/A_1993-1225-0-22,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_3/a69dc3a8_12ef_436c_86bd_a3bb003cfc7f/mid_00295900_001.jpg,1896-1970
"1993,0414,0.2",album; painting,册页 | 绘画,十二开山水画册。纸本水墨设色。第一至七页为经折装，第八至十二页为散页夹装。,纸,"高度：每页44.90厘米  
宽度：每页33.80厘米",1993.0,https://www.britishmuseum.org/collection/object/A_1993-0414-0-2,无图片,1954
"1983,0604,0.1",album; painting,册页 | 绘画,册页。历史题材。三国事件叙事，附汉文与满文题跋。纸本设色描金。,纸,长度：44.10厘米 | 宽度：43.80厘米,1983.0,https://www.britishmuseum.org/collection/object/A_1983-0604-0-1,https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_21/1120a231_2e12_445a_b4a0_a3b8015f9fa9/mid_00334582_001.jpg,17thC
"1984,0203,0.52",album; painting,册页 | 绘画,册页。八开山水。纸本设色。每开钤印。,纸,高度：26.60厘米 | 宽度：34.10厘米,1984.0,https://www.britishmuseum.org/collection/object/A_1984-0203-0-52,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_16/eb322965_6a0c_4baa_902a_a3bf0109c20e/mid_00526526_001.jpg,1827
"1877,0714,0.758",album; painting,册页 | 绘画,小折页册，每幅画为双页。山水（纸本水墨）与花卉（纸本设色）。,纸,"高度：9厘米（画作与册页）  
宽度：13.80厘米（册页）  
宽度：17.50厘米（每幅双页图像）",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-758,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_12/e878b34e_02b0_45de_a6ab_a3bf00ce593e/mid_00512343_001.jpg,1800-1877
"1902,0606,0.52.4",album; painting,册页 | 绘画,册页。山水。纸本设色。,纸,高度：31.60厘米 | 宽度：24.80厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-4,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/bacd211c_7b58_463f_b207_a3ba00fe8e10/mid_00241424_001.jpg,1427-1509
"1877,0714,0.755",album; painting,画册 | 绘画,折页册。花卉与竹，每幅画作于双页册叶上。纸本设色。,纸,"高度：9厘米（画册及每幅画作）  
宽度：13.80厘米（画册）  
宽度：17.80厘米（每张对开画页）",1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-755,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_8/953d29c2_ab21_44d6_8ec9_a3bf008cbc3f/mid_00492245_001.jpg,1800-1877
"1902,0606,0.52.8",album; painting,册页 | 绘画,册页。枝头鸦。绢本水墨。,纺织品,高度：26厘米 | 宽度：21.70厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-8,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/9542fbf7_09b8_4cf3_b243_a3ba00fea99d/mid_00241434_001.jpg,1588-1639
"1991,0214,0.1",album; painting,册页 | 绘画,折页册。纸本水墨。,纸,高度：11.20厘米（闭合状态）| 高度：11厘米（展开状态）| 高度：11厘米（画作部分）| 长度：217厘米（画作部分）| 宽度：10.10厘米（闭合状态）| 宽度：217厘米（展开状态）,1991.0,https://www.britishmuseum.org/collection/object/A_1991-0214-0-1,无图片,1990
"1913,1118,0.1",album; painting,册页 | 绘画,册页。马系于树。绢本设色。,丝绸,高度：49.40厘米（册页） | 高度：43.60厘米（画心） | 宽度：37.40厘米（册页） | 宽度：31.60厘米（画心）,1913.0,https://www.britishmuseum.org/collection/object/A_1913-1118-0-1,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_6/bf77e80c_3980_4607_897a_a3b9006a56d9/mid_00344858_001.jpg,1644-1911
"1984,0203,0.38.c",album; fan; painting,册页 | 扇面 | 绘画,圆形扇面（共三幅之一）装裱成册。水仙与牡丹。绢本设色。,丝绸,直径：约24厘米,1984.0,https://www.britishmuseum.org/collection/object/A_1984-0203-0-38-c,无图片,不明
"1984,0203,0.38.a",album; fan; painting,册页 | 扇面 | 绘画,圆形扇面（共三幅之一）装裱成册。牡丹花图。绢本设色。,纸 | 丝,直径：24厘米,1984.0,https://www.britishmuseum.org/collection/object/A_1984-0203-0-38-a,无图片,19thC
"1974,0617,0.17.111",album,册页,册页（正面）。肖像。一位中国女子。纸本。据登记，第57页。,纸,高度：44厘米 | 宽度：25厘米,1974.0,https://www.britishmuseum.org/collection/object/A_1974-0617-0-17-111,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_4/1420a63d_e869_4853_af64_a3bb004e2faf/mid_00300684_001.jpg,18thC
"1902,0606,0.52.6",album; painting,册页 | 绘画,册页。松石图。纸本水墨。,纸,高度：24.90厘米 | 宽度：18.20厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-6,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/2bb55bac_f0fa_44e7_a451_a3ba00fea0db/mid_00241430_001.jpg,1592-1673
"1902,0606,0.52.12",album; painting,册页 | 绘画,册页。菊竹图。署名及钤印二方。纸本水墨。,纸,高度：21厘米 | 宽度：27.80厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-12,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/e655d7ad_ebd3_42e2_ada5_a3ba00feb34e/mid_00241438_001.jpg,18thC
"1902,0606,0.52.14",album; painting,画册 | 绘画,册页。花果。纸本设色。,纸,高度：21.40厘米 | 宽度：22.30厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-14,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/2959e339_b049_4917_b9b0_a3ba00fec14a/mid_00241442_001.jpg,19thC
"1984,0203,0.11.a",album; fan; calligraphy; painting,册页 | 扇面 | 书法 | 绘画,册页。团扇。篆书书法。绢本墨笔。,丝,直径：约25厘米,1984.0,https://www.britishmuseum.org/collection/object/A_1984-0203-0-11-a,无图片,不明
"1902,0606,0.52.15",album; painting,册页 | 绘画,册页。梅花。绢本水墨。,纺织品,高度：27.70厘米 | 宽度：21.70厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-15,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/dd61dfa6_d155_4d87_bb15_a3ba00fec7b9/mid_00241444_001.jpg,1721-1782
"1902,0606,0.52.10",album; painting,册页 | 绘画,册页。松树。纸本水墨设色。,纸,高度：29.90厘米 | 宽度：23.70厘米,1902.0,https://www.britishmuseum.org/collection/object/A_1902-0606-0-52-10,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_15/9acc6c97_edca_40c3_9b84_a3ba00feac23/mid_00241436_001.jpg,1423-1495
"1877,0714,0.300-311",album; painting,册 | 绘画,册页 娱乐 体操 纸本设色,纸,高度：48厘米（相册）| 宽度：52厘米（相册）,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-300-311,无图片,1800-1831
"1878,1109,0.156-168",album; painting,册页 | 绘画,册页。职业。种茶。纸本水墨。,纸,"高度：42.50厘米（册页）  
宽度：55.50厘米（册页）",1878.0,https://www.britishmuseum.org/collection/object/A_1878-1109-0-156-168,无图片,不明
"1877,0714,0.1278-1307",album (Folder 13); painting,画册（文件夹13）| 绘画,册页夹。乐师。纸本设色。,纸,高度：25厘米 | 宽度：33.50厘米,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1278-1307,无图片,1800-1831
"1877,0714,0.117-166",album; painting,册页 | 绘画,册页。刑罚。纸本设色。,纸,高度：32厘米（册页）| 宽度：44厘米（册页）,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-117-166,无图片,1800-1831
"1877,0714,0.1355-1358",album; painting,册 | 画,册页。山水。设色纸本。,纸,高度：30厘米 | 宽度：38厘米,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-1355-1358,无图片,1801-1850
"1936,1009,0.4",album; painting,册页 | 绘画,册页。竹。绢本水墨。,丝绸,高度：21.50厘米 | 宽度：20厘米,1936.0,https://www.britishmuseum.org/collection/object/A_1936-1009-0-4,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_20/4134afad_edf4_45d9_8aa4_a3ba0158cf6d/mid_00261841_001.jpg,1368-1911
"1877,0714,0.324-353",album; painting,册页 | 绘画,册页。山水。纸本设色。,纸,高度：44.30厘米（册页） | 宽度：22.30厘米（册页）,1877.0,https://www.britishmuseum.org/collection/object/A_1877-0714-0-324-353,无图片,1800-1831
