name,dynasty,type,description,entry_time,Author,size,materials,图片URL,museum_id
《明代丘濬画像》,清朝,拓片,立轴；纸本拓片,1912,董国华,尺寸：148 x 63 厘米（58 1/4 x 24 13/16 英寸）；168 x 67 厘米（66 1/8 x 26 3/8 英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV05345/full/!650,650/0/default.jpg",2
达摩一苇渡江,明朝,拓片,立轴；纸本墨拓,1912,"士仲昇，画家  
王施财，雕刻匠",图像尺寸：113 x 62 厘米（44 1/2 x 24 7/16 英寸）；外框尺寸：132 x 66.3 厘米（51 15/16 x 26 1/8 英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV04651/full/!650,650/0/default.jpg",2
印文砖,周朝,拓片,拓片；纸本墨拓,2007,不明,"画幅尺寸：46.5×110厘米（18又5/16×43又5/16英寸）  
装裱尺寸：49.7×123厘米（19又9/16×48又7/16英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV04762/full/!650,650/0/default.jpg",2
《苏轼戴竹笠穿木屐像》,清朝,拓片,立轴；纸本拓片,1902,仇英（画家），冯询（刻工）,尺寸：112 x 46厘米（44又1/8 x 18又1/8英寸）；94.5 x 41.6厘米（37又3/16 x 16又3/8英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV05358/full/!650,650/0/default.jpg",2
唐太宗画像,明朝,拓片,立轴；纸本拓片,2009,范文光，书法家、篆刻家,尺寸：158 × 57 厘米（62 3/16 × 22 7/16 英寸） 177 × 60.8 厘米（69 11/16 × 23 15/16 英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV05339/full/!650,650/0/default.jpg",2
龟甲釉茶碗,"南宋
元朝","陶瓷  
茶碗",吉州窑；褐釉炻器,2007,不明,高5.5厘米 × 直径10.7厘米（2又3/16 × 4又3/16英寸）,暂无,无图片,2
葬木,辽代,"随葬品  
棺椁  
绘画  
残片",木材与颜料,2005,不明,a-b：6.7 × 109 × 7.5 厘米（2 5/8 × 42 15/16 × 2 15/16 英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/1995-84A-B/full/!650,650/0/default.jpg",2
棺台（动物纹饰）,辽代,"棺木  
绘画  
残片  
随葬品",木与颜料,1956,不明,"33 × 132 × 3.5 厘米（13 × 51 15/16 × 1 3/8 英寸）  
托架（与1995-78 b号组件装配）：270 厘米（106 5/16 英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/1995-78C_LFT/full/!650,650/0/default.jpg",2
碎片,辽代,"随葬品  
棺椁  
绘画  
残片",木,1934,不明,"a件：7.4×3.8×1.1厘米（2又15/16×1又1/2×7/16英寸）  
b件：7.5×43.9×1.1厘米（2又15/16×17又5/16×7/16英寸）  
c件：7.6×44.8×1.1厘米（3×17又5/8×7/16英寸）  
d件：7.5×49.8×1.2厘米（2又15/16×19又5/8×1/2英寸）  
e件：7.3×59×1.4厘米（2又7/8×23又1/4×9/16英寸）  
f件：7.6×60.8×1.4厘米（3×23又15/16×9/16英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/1995-104A-F/full/!650,650/0/default.jpg",2
一组描绘女性的嵌板之一,辽代,"棺木  
绘画  
残片  
随葬品",木材与颜料,1923,不明,80.5 × 26.5 × 2.1 厘米（31又11/16 × 10又7/16 × 13/16 英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/1995-76A/full/!650,650/0/default.jpg",2
