name,dynasty,type,description,entry_time,Author,size,图片URL,museum_id,materials
大玉盘,周朝,礼器,半透明灰绿色玉质，表面呈云雾状，一侧散布浅褐色斑纹，另一侧大面积深褐与草绿色相间；器缘镌1766年御制题诗。,1943.0,不明,"直径20.6厘米×厚度0.6厘米（8又1/8英寸×1/4英寸）
重量445克",https://nrs.hvrd.art/urn-3:HUAM:763615?width=3000&height=3000,3,暂无
坐姿地藏菩萨,朝鲜王朝,绘画,立轴现装裱于板面并加框；绢本设色描金,2001.0,不明,"151.1 × 198.8 × 3.2 厘米（59 1/2 × 78 1/4 × 1 1/4 英寸）
外框尺寸：155.6 × 203 × 8.3 厘米（61 1/4 × 79 15/16 × 3 1/4 英寸）",https://nrs.hvrd.art/urn-3:HUAM:772047?width=3000&height=3000,3,暂无
梅枝,明朝,绘画,立轴；绢本水墨；有画家题款，署“雪湖”，并钤印,1923.0,刘世儒,"画心：高180.3厘米，宽98.4厘米（71×38¾英寸）
裱件（含绦带及轴头）：高260.4厘米，宽125.1厘米（102½×49¼英寸）",https://nrs.hvrd.art/urn-3:HUAM:755873?width=3000&height=3000,3,暂无
仿古青铜尊式龙纹波浪纹花瓶,明朝,容器,青花瓷：以釉下钴蓝彩绘装饰的瓷器,1999.0,不明,"最大尺寸：高22厘米×口径15厘米（8又11/16×5又7/8英寸）
底径：10.5厘米（4又1/8英寸）",https://nrs.hvrd.art/urn-3:HUAM:78763_dynmc?width=3000&height=3000,3,暂无
长颈大瓶,清朝,器物,珐琅彩瓷（粉彩类）：釉上多彩珐琅装饰瓷器，器底青花篆书大清乾隆年制款。,1950.0,不明,高51.5厘米，直径38.6厘米（20又1/4英寸×15又3/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP08828_dynmc?width=3000&height=3000,3,暂无
“对鸟纹”有盖青铜礼酒器,周朝,器皿,青铜铸造，表面呈黑色铜锈；器底与盖内均铸有耿嬴夫人的铭文。,1943.0,不明,高29厘米×宽18.8厘米×深17.7厘米（11又7/16英寸×7又3/8英寸×6又15/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC251550_dynmc?width=3000&height=3000,3,暂无
佛经：菩萨圣戒经（中文）,高丽王朝,印刷品,折页式木版印刷书；纸本墨印,1985.0,不明,每页：高30.6厘米 × 宽12.4厘米（12 1/16 × 4 7/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP10520_dynmc?width=3000&height=3000,3,暂无
玉虎（一对之一）,战国时期（公元前475年—公元前221年）至西汉时期（公元前206年—公元9年）,礼器,深褐色与米色斑驳的和田玉,1943.0,不明,"长19.1厘米，高8.8厘米，厚0.5厘米（7又1/2×3又7/16×3/16英寸）
重量170克",https://nrs.hvrd.art/urn-3:HUAM:763637?width=3000&height=3000,3,暂无
叶缘孔雀纹大盘,元朝,容器,青花瓷：带有模制装饰及釉下钴蓝彩绘的瓷器,1961.0,不明,"整体（最大）：高8厘米 × 直径（顶点间距）48.9厘米（3 1/8 × 19 1/4英寸）
底足圈：直径25.2厘米（9 15/16英寸）",https://nrs.hvrd.art/urn-3:HUAM:DDC111359_dynmc?width=3000&height=3000,3,暂无
立式观世音菩萨（观音菩萨）,唐朝,雕塑,鎏金青铜,1943.0,不明,高38.0厘米 × 宽15.2厘米 × 深9.3厘米（14又15/16英寸 × 6英寸 × 3又11/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:51211_dynmc?width=3000&height=3000,3,暂无
“觥”虎鸮纹盖礼酒器,商朝,器皿,青铜铸造，表面呈淡绿色铜锈,1943.0,不明,"高25.0厘米 × 宽31.5厘米 × 深10.6厘米（9又13/16英寸 × 12又3/8英寸 × 4又3/16英寸）
重量1020.58克",https://nrs.hvrd.art/urn-3:HUAM:30076_dynmc?width=3000&height=3000,3,暂无
佛经：《华严经》（中文版）,朝鲜王朝,手稿,折页书；靛蓝纸上饰金银颜料,1984.0,不明,高34.4厘米 × 宽12.3厘米（13又9/16英寸 × 4又13/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:73375_dynmc?width=3000&height=3000,3,暂无
礼制玉柄残刃斧,商朝,骑乘装备,不透明的蓝绿色软玉，带有细腻的黑色纹理和浅棕色斑纹,1943.0,不明,"长56.2厘米，宽3.7厘米，厚1厘米（22又1/8英寸×1又7/16英寸×3/8英寸）
重量546克",https://nrs.hvrd.art/urn-3:HUAM:50885_dynmc?width=3000&height=3000,3,暂无
叶瓣形花盆带卷叶纹边饰,明朝,器物,编号钧瓷：浅灰色炻器，饰以斑驳紫蓝釉；底部烧制前刻有中文数字“三”（san）。,1942.0,不明,"最大尺寸：高18厘米 × 宽26.2厘米 × 深26.1厘米（7又1/16英寸 × 10又5/16英寸 × 10又1/4英寸）
底座尺寸：宽12.7厘米 × 深12.7厘米（5英寸 × 5英寸）
重量：2403.4克",https://nrs.hvrd.art/urn-3:HUAM:760826?width=3000&height=3000,3,暂无
不动明王（阿遮罗摩诃罗阇）,清朝,纺织艺术,缂丝唐卡装裱为挂轴；丝绸以挂毯织法织就，部分细节以金色及浅色颜料绘于表面。,1958.0,不明,"画心尺寸：高90.4厘米×宽53.5厘米（35又9/16英寸×21又1/16英寸）
仅裱绢尺寸：高157.5厘米×宽73.3厘米（62英寸×28又7/8英寸）
含天地杆及绦带装裱总尺寸：高163厘米×宽78.5厘米（64又3/16英寸×30又7/8英寸）
装裱板尺寸：高170厘米×宽94厘米（66又15/16英寸×37英寸）",https://nrs.hvrd.art/urn-3:huam:DDC112256_dynmc?width=3000&height=3000,3,暂无
玉虎（一对之一）,战国时期（公元前475年—公元前221年）至西汉时期（公元前206年—公元9年）,礼器,深棕色与米色斑驳的和田玉,1943.0,不明,"高8.5厘米×长19.1厘米×厚0.4厘米（3又3/8英寸×7又1/2英寸×3/16英寸）
重量148克",https://nrs.hvrd.art/urn-3:HUAM:763634?width=3000&height=3000,3,暂无
玉立像贵人,商朝,礼器,钙化、灰白色的软玉，原为青绿色。,1943.0,不明,"高8.7厘米 × 宽2.4厘米（3又7/16英寸 × 15/16英寸）
重量67克",https://nrs.hvrd.art/urn-3:HUAM:50943_dynmc?width=3000&height=3000,3,暂无
鎏金铜饰三猫三凤纹盖玉杯,汉朝,器皿,半透明浅绿色软玉，带有褐色纹理及轻微钙化的骨色斑块；鎏金铜边,1943.0,不明,"高7.7厘米，直径11.2厘米（3又1/16 x 4又7/16英寸）
重量543克",https://nrs.hvrd.art/urn-3:HUAM:51157_dynmc?width=3000&height=3000,3,暂无
无畏印狮子座佛,北魏,雕塑,鎏金青铜,1943.0,不明,高37.0厘米×宽16.0厘米×厚11.5厘米（14又9/16英寸×6又5/16英寸×4又1/2英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC251288_dynmc?width=3000&height=3000,3,暂无
禅定印火焰肩释迦牟尼佛坐像,六朝时期,雕塑,鎏金青铜；犍陀罗式,1943.0,不明,高32厘米×宽24厘米×深13厘米（12又5/8英寸×9又7/16英寸×5又1/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC251389_dynmc?width=3000&height=3000,3,暂无
中国山水六圣图,朝鲜王朝,绘画,六折屏风；纸本水墨；每幅画均有作者署名“醉隐”,1993.0,郑惟承（又号翠云）,"单幅画作：高59.4厘米×宽37.8厘米（23又3/8英寸×14又7/8英寸）
全幅装裱：高151.8厘米×宽308.6厘米（59又3/4英寸×121又1/2英寸）",https://nrs.hvrd.art/urn-3:HUAM:75824_dynmc?width=3000&height=3000,3,暂无
叶缘卷边三云涡足瓣形盆,明朝,器物,编号钧瓷：浅灰炻器，釉色紫蓝斑驳；底部烧制前刻有中文数字“三”（san）,1942.0,不明,"最大尺寸：高7.2厘米 × 宽23厘米 × 深22.8厘米（2又13/16英寸 × 9又1/16英寸 × 9英寸）
底座直径：14.2厘米（5又9/16英寸）
重量：1067.9克",https://nrs.hvrd.art/urn-3:HUAM:760822?width=3000&height=3000,3,暂无
