name,dynasty,type,description,entry_time,Author,size,materials,图片URL,museum_id
徽章,暂无,徽章,毛主席像章（整体）| 红圈内金色毛主席头像及衣领，衬以红太阳光芒背景。下方为红色天安门，两侧各饰七朵向上伸展的向日葵（正面）| 镂空式毛主席头像（粗犷）。铭文首段采用林彪题字（背面）,1990,不明,直径：38毫米,铝 | 塑料,无图片,1
徽章,清朝,徽章,徽章。天足会（或反缠足联盟）颁发。采用錾胎银工艺制作。,1979,不明,直径：5厘米,银,https://media.britishmuseum.org/media/Repository/Documents/2014_10/1_6/96fb6f4c_66bd_47c9_b2bb_a3b700702908/mid_00033401_001.jpg,1
徽章,暂无,徽章,毛主席像章（整体）| 金色毛主席侧面头像及衣领衬于红色太阳光芒背景。梅花象征逆境中奋发的精神，常见于毛主席诗词（正面）| 镂空含苞梅花造型，部分铭文为林彪题字（背面）,1990,不明,直径：42毫米,铝,无图片,1
徽章,暂无,徽章,毛主席像章。（整体）毛泽东四分之三侧面肖像（至腰部），右臂高举，左臂背于身后。毛泽东立于栏杆前。红色背景。红日、两架飞机、浪涛中的军舰及题词。题词为毛泽东手书。（正面）镂空的上半身毛泽东像，手臂高举。（背面）,2004,不明,高度：43毫米 | 宽度：58毫米,铝 | 塑料,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_20/486e4936_1076_4100_b580_a3df0157ba01/mid_01547949_001.jpg,1
徽章,暂无,徽章,毛主席像章。（整体）| 金色毛主席侧面头像（头部及带红领章的衣领）衬于红太阳光芒背景的红色圆形上。头像下方为九面红旗，铭文两侧各配两架飞机，铭文下方海浪上有一艘军舰。（正面）| 镂空五瓣梅花造型。（背面）,1990,不明,直径：46毫米,铝,无图片,1
徽章,暂无,徽章,毛主席像章。（整体）| 红太阳光芒背景下金色毛泽东侧面头像（头部及衣领）。（正面）,2004,制作单位：中国人民解放军总政治部,直径：30毫米,铝 | 塑料,无图片,1
徽章,暂无,徽章,毛主席像章。金色像章，呈毛泽东半身像造型（帽上有红星，领章为红色），置于圆形红色礼盒中。,2005,不明,高度：21毫米（徽章）| 宽度：17毫米（徽章）,金属,https://media.britishmuseum.org/media/Repository/Documents/2014_11/9_15/10f4c9e1_5bc8_4555_b85a_a3de00fe213b/mid_01441637_001.jpg,1
徽章,暂无,徽章,毛主席像章。（整体）（整体）| 方形红底上印有毛泽东头像（头部与衣领）。红色圆圈（太阳）内为金色天安门，周围环绕金色光芒，背景为蓝色。天安门立柱。下方红白条纹处刻有题词。（正面）（正面）| 毛泽东书法题词。（背面）（背面）,2004,不明,高度：20毫米 | 宽度：30毫米,铝,无图片,1
徽章,暂无,徽章,毛主席像章。（整体）红太阳光芒背景上的毛泽东头像（头部与衣领），环绕金色圆环（内含五颗大星、三十颗小星及锤子镰刀图案），外缘为红色边框。（正面）镂空椭圆形。（背面）,2004,不明,直径：43毫米,铝 | 塑料,无图片,1
徽章,暂无,徽章,毛主席像章。（整体）红太阳光芒背景上的毛泽东侧面头像（头部与衣领）。下方为碗托芒果图案。（正面）镂空圆形。部分铭文为林彪题字。（背面）,2004,不明,直径：27毫米,铝,无图片,1
徽章；牌匾,暂无,徽章 | 牌匾,带底座毛主席像章。（整体）红底上毛泽东侧面头像（头部与衣领）。头像下方为金色题词。题词下方是海浪上的白色军舰。题词为林彪手书。（正面）,2004,不明,直径：119毫米,塑料,无图片,1
徽章,暂无,徽章,毛主席像章。（整体）| 金色毛泽东侧面像（帽佩红星，领缀红章），面朝右侧，衬以红色放射光芒背景，整体呈五角星造型。（正面）| 镂空圆形环绕五角星图案。（背面）,1990,不明,直径：50毫米,铝,无图片,1
徽章,暂无,徽章,毛主席像章（整体）| 红太阳光芒背景下金色毛泽东头像（头部与衣领）衬于红色圆环内，下方为破浪前进的军舰（正面）| 镂空五瓣梅花形，部分铭文为林彪题字（背面）,1990,不明,直径：42毫米,铝,无图片,1
