name,dynasty,type,description,entry_time,size,materials,图片URL,Author,museum_id
碗,明朝 | 宣德,碗,深腹瓷碗。釉下青花绘山水冬景三友图。碗心圆形开窗内饰同类松竹梅石纹。底款题字。,02 Apr 2025,直径：208毫米 | 高度：92毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/b974f9bb_dc15_4016_918d_a3bc006859fb/mid_00389149_001.jpg,不明,1
碗,清朝 | 康熙,碗,瓷碗，口沿微撇呈花形，底有小圈足。碗身施青釉，内外壁均以釉下堆塑工艺仿制花卉纹饰。,02 Apr 2025,直径：110毫米 | 高度：59毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_19/05d4c0f2_da9b_4041_b89f_a3bb013afa30/mid_00366300_001.jpg,不明,1
碗,清朝,碗,锥形瓷碗。釉下青花宽边饰以莲纹与水草，笔触细腻。碗内双圈波浪纹饰。底部有款识。,02 Apr 2025,直径：110毫米 | 高度：41毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/247ac79e_e818_4aed_851f_a3bb017a1dfa/mid_00387092_001.jpg,不明,1
碗,明朝 | 万历,碗,八棱瓷碗，口沿外撇。沿下饰刻划回纹带，器身镂空网格纹，每面中央均书有文字。,02 Apr 2025,高度：51毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_19/7ce9b7cb_0005_4931_8adb_a3bb014855a4/mid_00370491_001.jpg,不明,1
碗,北宋,碗,瓷质，近锥形碗。碗体呈白色，施灰白釉。外壁可见泪痕。,02 Apr 2025,直径：160毫米 | 高度：59毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_15/e551ddd8_53c0_4cf5_ad03_a3c000fb50ec/mid_00569765_001.jpg,不明,1
碗,明朝 | 隆庆,碗,瓷碗，碗壁圆润。器身施青釉，釉色类青瓷。碗内双圈内饰双框，框内书四字款识。底足内凹，施青花底款。,02 Apr 2025,直径：95毫米 | 高度：41毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/12dcba99_2c1b_44d4_abd2_a3bb01642f50/mid_00379800_001.jpg,不明,1
碗,清朝,碗,半球形瓷碗。斗彩装饰，釉下青花晕染勾勒，釉上彩绘。碗内绘寿老（长寿之神）坐于鹤侧，外绕双青圈。碗外壁饰八仙图。底部有款识。,02 Apr 2025,直径：155毫米 | 高度：70毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/6f814f54_3903_4127_9bec_a3bc0064bf0d/mid_00388024_001.jpg,不明,1
碗,明朝,碗,锥形瓷碗。釉下青花，笔触细腻，描绘一女子坐于柳树旁岩石上，观看三名幼童嬉戏。碗心饰有花卉纹圆形开光。底部有款识。,02 Apr 2025,直径：105毫米 | 高度：34毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/82b06944_aa72_4d46_863c_a3bc00686746/mid_00389100_001.jpg,不明,1
碗,清朝 | 康熙,碗,弧腹瓷碗。外施黄釉，下承薄层高温釉底。器底镌有款识。与B500成对。,02 Apr 2025,直径：127毫米 | 高度：63毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_22/ef8a85ac_33d8_4aae_8c93_a3c0017a2a33/mid_00570516_001.jpg,不明,1
碗,明朝,碗,瓷质双碗，器身呈圆弧形，内置浅盘，底部有孔。外壁以钴蓝釉下彩绘山水亭阁纹饰，中有三名骑者及一名侍从；内壁绘山水人物纹，中有三名男子。,02 Apr 2025,直径：160毫米 | 高度：83毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/139c2384_c62d_42e5_8767_a3bb016c595a/mid_00382404_001.jpg,不明,1
碗,明朝 | 万历,碗,圆腹瓷碗。碗身施黄釉，口沿及底足饰黑线。外壁刻双五爪云龙纹，足圈饰回纹，口沿绘蓝线，底部素白釉下有一圈纹。底有青花款识。,02 Apr 2025,直径：155毫米 | 高度：85毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_20/cb358628_4424_4e42_ab9c_a3bb014a8bd9/mid_00371190_001.jpg,不明,1
碗,明朝 | 万历,碗,撇口直沿矮圈足瓷碗。外壁青花绘缠枝牡丹、菊花及莲纹，内壁饰青花莲花与缠枝叶纹。底有款识。,02 Apr 2025,直径：126毫米 | 高度：40毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/405b9595_2527_4929_9cb5_a3bb0164ea9f/mid_00380144_001.jpg,不明,1
碗,南宋,碗,建窑黑釉兔毫盏，口沿镶银扣。,02 Apr 2025,直径：122毫米 | 高度：71毫米,石器 | 银器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/14_11/a5c10ca1_cb2e_4742_809a_a3c400c3f9af/mid_00851778_001.jpg,不明,1
碗,明朝 | 清朝,碗,瓷碗。碗身为白色。碗心及外壁刻有草书铭文。,02 Apr 2025,直径：154毫米 | 高度：51毫米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/96eea411_ce8a_4f89_b8eb_a3bb017681c5/mid_00385873_001.jpg,不明,1
碗,南宋,碗,龙泉石胎碗，碗身饰有横向凹槽，口沿外撇。碗体施厚绿釉，釉面呈不规则褐色开片。,02 Apr 2025,直径：108毫米 | 高度：49毫米,陶器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_15/3ec74bbd_380d_4257_be9c_a3c000fba520/mid_00569961_001.jpg,不明,1
