name,dynasty,type,description,entry_time,Author,size,materials,图片URL,museum_id
信,清朝,"册页  
书法（视觉作品）  
信札（通信）",册页；纸本水墨,1969,不明,书法：27.4 × 12.3厘米（10 13/16 × 4 13/16英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV05846/full/!650,650/0/default.jpg",2
兔毫盏（建盏天目）,明朝,"陶瓷
碗（容器）",陶瓷与漆器,1966,不明,"碗：7.6 × 12.6 厘米（3 × 4 15/16 英寸）  
碗托：8 × 16.1 厘米（3 1/8 × 6 5/16 英寸）",陶瓷,"https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2021_63774/full/!650,650/0/default.jpg",2
信,清朝,"册页
书法（视觉作品）
信函（通信）",册页；木版印刷笺纸上的墨迹,1906,梁鼎芬,书法：27.4 × 17.1厘米（10又13/16 × 6又3/4英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV05907/full/!650,650/0/default.jpg",2
致芝芳书,清朝,"册页
书法（视觉作品）
信函（通信）",册页；纸质木版印刷信笺纸，饰有梅枝边框,1970,汪学金,"书法（o）：23.4 × 13.8厘米（9 3/16 × 5 7/16英寸）  
书法（p）：23.4 × 13.8厘米（9 3/16 × 5 7/16英寸）  
书法（q）：23.5 × 13.8厘米（9 1/4 × 5 7/16英寸）  
书法（r）：23.5 × 13.8厘米（9 1/4 × 5 7/16英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/1998-90O/full/!650,650/0/default.jpg",2
信,清朝,"册页
书法（视觉作品）
信札",册页；木版印刷云纹红笺纸上水墨,2006,倪文蔚,"书法（gg）：22.5 × 12.6厘米（8又7/8 × 4又15/16英寸）  
书法（hh）：22.5 × 12.2厘米（8又7/8 × 4又13/16英寸）  
书法（ii）：22.5 × 12.6厘米（8又7/8 × 4又15/16英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV05872/full/!650,650/0/default.jpg",2
致韩平的信,清朝,"册页
书法（视觉作品）
信函（通信）",册页；纸本水墨,1941,于右任,书法作品：27.8 × 16.9 厘米（10 15/16 × 6 5/8 英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV05908/full/!650,650/0/default.jpg",2
三足鼎,春秋时期,"鼎  
青铜器",青铜,1943,不明,带柄高26.7厘米，带柄直径25.9厘米，重2.5公斤（10又1/2×10又3/16英寸）。口沿高23.2厘米，口沿直径21.2厘米（9又1/8×8又3/8英寸）。,青铜,"https://media.artmuseum.princeton.edu/iiif/3/collection/y1965-72/full/!650,650/0/default.jpg",2
弓形器,商朝,"金属加工
青铜器",青铜,1943,不明,长34.0厘米，宽4.1厘米，高9.5厘米（13又3/8 x 1又5/8 x 3又3/4英寸）,青铜,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV024659/full/!650,650/0/default.jpg",2
碗底,宋朝,"碗（容器）
陶瓷
碎片",极细灰胎青釉瓷,1920,不明,高7.8厘米，宽11.6厘米，厚3.5厘米（3又1/16×4又9/16×1又3/8英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV02560/full/!650,650/0/default.jpg",2
孔子弟子,宋朝,"拓片
册页",册页；纸本水墨,1921,不明,拓片尺寸：30.5×40.3厘米（12×15又7/8英寸）整体尺寸：30.8×47.5厘米（12又1/8×18又11/16英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV04548/full/!650,650/0/default.jpg",2
孔子门徒,宋朝,"拓片  
册页",册页；纸本水墨,1968,不明,"拓片：30.5×40.3厘米（12×15又7/8英寸）
整体：30.8×47.5厘米（12又1/8×18又11/16英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV04557/full/!650,650/0/default.jpg",2
淳化阁法帖,北宋,"拓片
册页",十卷；纸本拓片,1998,不明,"单页尺寸：24.8×18.9厘米（9又3/4×7又7/16英寸）
合拢尺寸：31.8×23.7厘米（12又1/2×9又5/16英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/2005-49E_1/full/!650,650/0/default.jpg",2
淳化阁法帖,北宋,"拓本  
册页",拓片；纸本墨拓,1903,王献之,"书法：24.8 × 18.9 厘米（9又3/4 × 7又7/16英寸）  
册页：31.8 × 23.8 × 3.2 厘米（12又1/2 × 9又3/8 × 1又1/4英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV06593/full/!650,650/0/default.jpg",2
哀悼女子,后周,"陶瓷  
人像",细灰陶，红彩,1955,不明,高7.5厘米，宽7.2厘米，厚4.6厘米（2又15/16×2又13/16×1又13/16英寸）,暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV023188/full/!650,650/0/default.jpg",2
孔子门徒,宋朝,"拓片
册页",册页；纸本水墨,1966,不明,"拓片尺寸：30.5×40.3厘米（12×15又7/8英寸）
整体尺寸：30.8×47.5厘米（12又1/8×18又11/16英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV04550/full/!650,650/0/default.jpg",2
碗,辽代,"陶瓷  
碗（容器）",琥珀釉陶器,1952,不明,高9.5厘米，直径19.2厘米（3又3/4×7又9/16英寸）,"上釉（涂层）
陶瓷",无图片,2
《淳化阁法帖》,北宋,"拓片
册页",拓片；纸本墨拓,1930,不明,"书法：24.8 x 18.9厘米（9又3/4 x 7又7/16英寸）
册页：31.8 x 23.8 x 3.5厘米（12又1/2 x 9又3/8 x 1又3/8英寸）",暂无,"https://media.artmuseum.princeton.edu/iiif/3/collection/INV06869/full/!650,650/0/default.jpg",2
