name,dynasty,type,description,entry_time,Author,size,图片URL,museum_id,materials
带座簋礼食器,周朝,器皿,青铜铸造，表面呈灰绿色铜锈；器底铸有献词铭文。,1944,不明,高25.4厘米 × 宽30.6厘米 × 深21.3厘米（10 × 12又1/16 × 8又3/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:51128_dynmc?width=3000&height=3000,3,暂无
“爵”饕餮纹礼酒器,商朝,器物,青铜铸造，表面覆盖厚重的绿色与赤褐色锈蚀层,1944,不明,高19.7厘米 × 长16.5厘米 × 直径6.3厘米（7又3/4 × 6又1/2 × 2又1/2英寸）,https://nrs.hvrd.art/urn-3:huam:DDC114287_dynmc?width=3000&height=3000,3,暂无
兽形青铜“觥”式香炉,清朝,器皿,铸铜；器底及盖内均有铭文,1944,不明,高（至角顶）21.1厘米×宽（最大）22.2厘米（8又5/16×8又3/4英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP03870_dynmc?width=3000&height=3000,3,暂无
方座繁饰饕餮纹簋,周朝,容器,青铜铸造，表面呈淡绿色铜锈,1944,不明,20×39.5×22.8厘米（7又7/8×15又9/16×9英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS80258_dynmc?width=3000&height=3000,3,暂无
饰牛纹礼器蒸锅（甗）,商朝（约公元前1600年-约公元前1050年）至西周时期（约公元前1050年-公元前771年）,器皿,青铜铸造；内壁铸有“尧作彝”三字铭文。,1944,不明,高40.6厘米，直径26.7厘米（16×10½英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46935_dynmc?width=3000&height=3000,3,暂无
四足四耳柱足盖簋,周朝,器皿,青铜铸造；器底与盖内均铸有铭文,1944,不明,带盖高26.2厘米×最大宽26.5厘米×口径18.8厘米（10又5/16×10又7/16×7又3/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46937_dynmc?width=3000&height=3000,3,暂无
浮雕装饰真幻动物与吉祥铭文圆形镜,隋朝,镜子,铸铜，带整体铸造吉祥铭文,1944,不明,直径25.1厘米（9又7/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46939_dynmc?width=3000&height=3000,3,暂无
带饕餮纹饰的盖卣（礼器）,周朝,器皿,铸铜,1944,不明,35 × 18.6 厘米（13又3/4 × 7又5/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46941_dynmc?width=3000&height=3000,3,暂无
附座簋礼食器,周朝,器皿,铸铜；器底铸有献词铭文,1944,不明,高至手柄顶部27.5厘米 × 宽（含手柄）33.5厘米 × 深21.9厘米（10又13/16 × 13又3/16 × 8又5/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:51130_dynmc?width=3000&height=3000,3,暂无
饰有饕餮纹及绳纹双耳礼食器（鬲鼎）,周朝,容器,青铜铸造；口沿内侧铸有四字铭文“左府新_？”,1944,不明,高19.1厘米（7又1/2英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46945_dynmc?width=3000&height=3000,3,暂无
你兽首提梁饕餮夔龙纹青铜卣,周朝,器皿,青铜铸造；器底与盖内均铸有铭文。,1944,不明,高（至柄顶）29.2厘米 × 宽18.1厘米（11又1/2英寸 × 7又1/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46949_dynmc?width=3000&height=3000,3,暂无
方形炉鼎式“鬲”礼食器,周朝,器物,青铜铸造，表面呈灰绿色铜锈；器底铸有五字铭文。,1944,不明,高17.9厘米 × 宽15厘米 × 厚12.3厘米（7又1/16 × 5又7/8 × 4又13/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC251258_dynmc?width=3000&height=3000,3,暂无
“利鼎”饕餮纹礼食器,商朝（约公元前1600年-约公元前1050年）至西周时期（约公元前1050年-公元前771年）,器物,青铜铸造；内壁铸有铭文,1944,不明,"高22.4厘米 × 宽17.6厘米（8又13/16英寸 × 6又15/16英寸）
重量1936.27克",https://nrs.hvrd.art/urn-3:HUAM:DDC251158_dynmc?width=3000&height=3000,3,暂无
龙兽纹嵌饰礼酒器（壶）,周朝,器皿,铸青铜镶嵌孔雀石与铜饰,1944,不明,高35.5厘米，直径25.8厘米（14×10又3/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46957_dynmc?width=3000&height=3000,3,暂无
带兽首提梁夔龙纹盖卣,商朝（约公元前1600年-约公元前1050年）至西周时期（约公元前1050年-公元前771年）,器皿,青铜铸造；器底及盖内均铸有铭文,1944,不明,无柄：高22.9厘米（9英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46959_dynmc?width=3000&height=3000,3,暂无
带兽首提梁及长尾鸟纹饰的盖酒器（卣）,周朝,器皿,青铜铸造；器底与盖内均铸有铭文，一体成型。,1944,不明,高23.18厘米，宽22.23厘米（9又1/8英寸×8又3/4英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46961_dynmc?width=3000&height=3000,3,暂无
饕餮纹饰龙纹青铜觚（礼器）,商朝,器物,铸铜；足圈内铸有铭文,1944,不明,高24.4厘米（9又5/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:INV227461_dynmc?width=3000&height=3000,3,暂无
带小把手礼器酒尊,周朝,容器,铸铜,1944,不明,高19.7厘米 × 宽17.9厘米（7又3/4英寸 × 7又1/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46968_dynmc?width=3000&height=3000,3,暂无
带盖仪式酒器（卣）,周朝,器物,铸铜,1944,不明,高（带柄）21.1厘米 × 宽21.3厘米（8又5/16 × 8又3/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46970_dynmc?width=3000&height=3000,3,暂无
“饕餮纹方鼎”礼食器,商朝（约公元前1600年-约公元前1050年）至西周时期（约公元前1050年-公元前771年）,器皿,青铜铸造，表面呈灰绿色铜锈；刻有三字铭文。,1944,不明,高27.3厘米 × 宽20.4厘米 × 深16.3厘米（10又3/4英寸 × 8又1/16英寸 × 6又7/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS80260_dynmc?width=3000&height=3000,3,暂无
大型有盖仪式酒器（方彝）,商朝（约公元前1600年-约公元前1050年）至西周时期（约公元前1050年-公元前771年）,容器,青铜铸造，表面呈绿色铜锈,1944,不明,高51厘米 × 宽47.8厘米 × 深29.6厘米（20又1/16英寸 × 18又13/16英寸 × 11又5/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:DDC105455_dynmc?width=3000&height=3000,3,暂无
侍从俑头像,汉朝,雕塑,模制灰陶,1945,不明,11.5×6.5×8厘米（4又1/2×2又9/16×3又1/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP08663_dynmc?width=3000&height=3000,3,暂无
跪姿侍从俑,汉朝,雕塑,冷绘丧葬器：模制灰陶，白垩底上残留微量颜料痕迹,1945,不明,17 × 8 × 6.3 厘米（6又11/16 × 3又1/8 × 2又1/2 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46891_dynmc?width=3000&height=3000,3,暂无
女俑头像,汉朝,雕塑,冷绘随葬陶器：模制灰陶胎体，表面残留白色石膏底上施冷绘颜料的痕迹,1945,不明,11 × 11 × 8 厘米（4又5/16 × 4又5/16 × 3又1/8 英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46893_dynmc?width=3000&height=3000,3,暂无
立姿胡人俑,隋（581年—618年）至唐（618年—907年）时期,雕塑,浅灰色模制陶器，白底上残留冷绘颜料痕迹,1945,不明,高22.8厘米（9英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP09129_dynmc?width=3000&height=3000,3,暂无
立姿女俑,唐朝,雕塑,模制白陶，残留冷绘颜料痕迹,1945,不明,高30.5厘米（12英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP09130_dynmc?width=3000&height=3000,3,暂无
立姿女俑,唐朝,雕塑,模制白陶，残留冷绘颜料痕迹,1945,不明,高29.9厘米（11又3/4英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP09131_dynmc?width=3000&height=3000,3,暂无
身着高腰裙立姿仕女俑,唐朝,雕塑,模制灰白色陶器，残留冷绘多色颜料痕迹,1945,不明,高26厘米（10又1/4英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP09133_dynmc?width=3000&height=3000,3,暂无
立式陶俑,北齐,雕塑,模制中灰色陶器，白底上残留冷绘多色颜料痕迹,1945,不明,高19厘米（7又1/2英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46894_dynmc?width=3000&height=3000,3,暂无
立姿女俑像，身着长袍,隋（581年—618年）至唐（618年—907年）时期,雕塑,铅釉随葬器：模制白陶，施铅助熔的淡黄色釉，并残留有釉上冷绘颜料痕迹。,1945,不明,21.4 × 6.1 厘米（8又7/16 × 2又3/8英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP08216_dynmc?width=3000&height=3000,3,暂无
跪姿女俑,隋（581年—618年）至唐（618年—907年）时期,雕塑,铅釉陶器：模制白陶器，施以草黄色铅釉，釉上残留冷绘颜料痕迹。,1945,不明,高19厘米 × 宽10.3厘米 × 深10.1厘米（7又1/2英寸 × 4又1/16英寸 × 4英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP09128_dynmc?width=3000&height=3000,3,暂无
缠枝牡丹纹叶形杯托,明朝,器皿,木胎雕漆；刻有“大”字铭文,1945,不明,高8.3厘米，直径17厘米（3又1/4 × 6又11/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:VRS46895_dynmc?width=3000&height=3000,3,暂无
陶片：带赤褐色斑点的碗（？）残片,宋朝,碎片,浅灰色炻器，施深棕色釉，釉上饰有氧化铁纹饰。,1946,不明,5.6 × 6.5 厘米（2又3/16 × 2又9/16英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP09729_dynmc?width=3000&height=3000,3,暂无
陶片：带赤褐色斑点的碗（？）残片,宋朝,碎片,浅灰色炻器，施深棕色釉，釉上饰有氧化铁纹样。,1946,不明,6.5 × 10.2 厘米（2又9/16 × 4英寸）,https://nrs.hvrd.art/urn-3:HUAM:CARP09728_dynmc?width=3000&height=3000,3,暂无
浮雕拓片：皇后献香行列（第3窟东南角）,南北朝时期,拓片,未装裱拓片；纸本墨拓,1946,不明,不规则形：194.5 × 371.1 厘米（76 9/16 × 146 1/8 英寸）,https://nrs.hvrd.art/urn-3:HUAM:796002?width=3000&height=3000,3,暂无
