name,dynasty,type,description,entry_time,Author,size,materials,图片URL,museum_id
算盘,暂无,算盘,算盘（17档，横梁上刻有汉字），木制，金属制。,1753.0,不明,高度：11.10厘米 | 重量：219克 | 宽度：27.10厘米 | 厚度：1.70厘米,木 | 金属,https://media.britishmuseum.org/media/Repository/Documents/2014_11/8_16/89558d3e_8ff0_4d9e_a70d_a3dd0109768d/mid_01381496_001.jpg,1
算盘,暂无,算盘,木金属制算盘，带品牌标签。,2019.0,不明,长度：22厘米,木 | 金属,无图片,1
算盘,明朝 | 嘉靖,算盘,青花瓷算盘框。此算盘呈长方形，底部有四只L形足。外缘有凸起的边框，内部距顶端3厘米处设有一道横向隔板。隔板上穿有圆孔，顶部与底部隔板则半穿孔洞。原应配有垂直细杆……,1909.0,不明,高：4厘米 | 长：25.20厘米 | 宽：13.80厘米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/92f5acb3_23fb_48f7_b417_a3ba0162a371/mid_00264386_001.jpg,1
顶饰,暂无,山花顶饰,灰泥制成的建筑装饰（山花饰）。装饰物大致呈三角形，中央线条两侧刻有螺旋纹饰，外围为素面边框。表面仍可见绿色颜料痕迹。,1917.0,不明,高度：6.80厘米 | 宽度：10.80厘米,灰泥,https://media.britishmuseum.org/media/Repository/Documents/2014_11/4_16/2acb8627_cd62_4eea_b263_a3d9010d5ef9/mid_01172915_001.jpg,1
门票,暂无,门票,澳门赛马入场券；浅绿色硬纸板，盾形，带白色挂绳。（整体）（整体）| 左上角印有赛马徽章，下方为葡文及中文铭文。（正面）（正面）| 背面为葡文及中文铭文。（背面）（背面）,2009.0,不明,长度：59毫米（最宽处）| 宽度：61毫米（最宽处）,纸板,无图片,1
门票；纪念品,暂无,门票 | 纪念品,"塑料门票。北京香山缆车乘坐纪念。

正面：票面展示缆车中的人物，下方为香山秋季著名的红叶、绿树，以及一座宝塔和建筑群。",2014.0,不明,高度：42毫米 | 宽度：130毫米,塑料,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_7/a999a0b9_7dc1_4efd_b1ce_a3df007fcd6d/mid_01494036_001.jpg,1
门票；纪念品,暂无,门票 | 纪念品,"塑料门票。北京香山缆车乘坐纪念。  
正面图案为缆车中的人物，背景是香山秋季著名的红叶、绿树以及白色的碧云寺。",2014.0,不明,高度：42毫米 | 宽度：130毫米,塑料,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_7/1517b7a1_3b5d_4abd_9541_a3df007fcc54/mid_01494035_001.jpg,1
门票；纪念品,暂无,门票 | 纪念品,塑料门票，绍兴东湖乘船游览仙桃洞的纪念品。门票图案为三人乘船于水面，正驶向洞穴。白色背景。,2014.0,不明,高度：94毫米 | 宽度：34毫米,塑料,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_7/883e5063_fe30_4d91_bbc3_a3df007fc9bc/mid_01494033_001.jpg,1
门票；纪念品,暂无,门票 | 纪念品,"塑料门票。兵马俑博物馆参观纪念。蓝色背景。  
正面：左侧为两尊兵马俑头像，右侧为博物馆建筑。红金双色印刷。  
背面：博物馆简介（英文）。金色印刷。",2014.0,不明,高度：50毫米 | 宽度：125毫米,塑料,https://media.britishmuseum.org/media/Repository/Documents/2014_11/10_7/39da264e_a05c_489d_b6d9_a3df007fcaf5/mid_01494034_001.jpg,1
锛,仰韶文化,锛,石锛。石材制成。,1959.0,不明,长度：2.25英寸,石头,https://media.britishmuseum.org/media/Repository/Documents/2014_11/1_3/b3db1707_8c8a_4165_92db_a3d600330396/mid_01048677_001.jpg,1
锛,仰韶文化,锛,石锛。石制。,1959.0,不明,长度：2.50英寸,石头,https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_7/7c5cd94a_0045_4720_9463_a3b90081f607/mid_00351902_001.jpg,1
阿尔巴雷洛（一种圆柱形药罐）,明朝 | 天启,药罐,青花卷草纹筒形药罐。此罐呈筒形，口沿下方与足部上方各有一道凸起的双棱。腹部绘有复合花卉卷草纹，下方饰以连续的U形纹饰带，上方则以锯齿纹为边。底部青花双圈内书六字天启年款……,暂无,不明,直径：6.30厘米 | 高度：5.80厘米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/dc8cd806_9bb9_4892_856f_a3ba01619af2/mid_00264110_001.jpg,1
画册；绘画,暂无,画册 | 绘画,册页。岩石、花鸟与果实。纸本水墨设色。每位画家各作四开。,1984.0,制作者：萧云 | 声称作者：赵次闲 | 制作者：徐平山,高度：23.40厘米 | 宽度：19.90厘米,纸,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_16/07d4c89e_cb31_4951_9355_a3bf0109bca5/mid_00526523_001.jpg,1
册；画,暂无,册页 | 绘画,十二开山水画册。纸本水墨设色。第一、二页为散页，第三至十二页为经折装。,1993.0,作者：黄宾虹,高度：34厘米（每幅版画；约）| 宽度：44.40厘米（每幅版画；约）,纸,无图片,1
