name,dynasty,type,description,entry_time,Author,size,materials,图片URL,museum_id
书法,暂无,书法,"纸本墨笔书法对联挂轴一对，韩愈亲笔所书。此联关乎持守中道之要，乃其多年体悟所得。其文曰：
若能凌日上，/ 直出浮云端，/ 便识乾坤大，/ 中观万象宽。",2002.0,书法家：韩羽,高度：131厘米 | 宽度：34.50厘米,纸,无图片,1
书法；拼贴,暂无,书法 | 拼贴,书法作品，以黑色墨水绘制于两页相同的德国艺术杂志内页上。艺术家将页面横向放置，在两页各大胆泼墨书写感字。随后将两页并置展示，但将左侧页面倒置，以此诠释标题理念——感受与激情之间的逆向关系。,2001.0,书法家：王冬龄,高度：91厘米（木框）| 高度：56厘米 | 宽度：114厘米（木框）| 宽度：81.20厘米 | 厚度：2厘米（木框）,纸,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_22/314e6c25_e97f_4419_9f9a_a3be0171e917/mid_00476250_001.jpg,1
书法,暂无,书法,书法，纸本墨迹。,2002.0,书法家：张强,高度：88.50厘米 | 宽度：64厘米,纸,无图片,1
书法,暂无,书法,"双幅纸本墨笔挂轴 李白诗《春夜宴桃李园序》：
夫天地者，万物之逆旅也；光阴者，百代之过客也。而浮生若梦，为欢几何？古人秉烛夜游，良有以也。",2002.0,书法家：黄苗子,高度：155厘米 | 宽度：61.10厘米,纸,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_4/dc9eedbb_84e4_4d25_b58f_a3bb00444bdc/mid_00297760_001.jpg,1
书法,暂无,书法,"书法作品，纸本墨迹。内容如下：
西风吹渭水，落叶满长安",2002.0,书法家：韩羽,高度：131厘米 | 宽度：33厘米,纸,无图片,1
书法,暂无,书法,纸本墨书曹操（155-220年）诗作书法。,2000.0,书法作者：李骆公 | 诗文作者：曹操,高度：32厘米 | 宽度：179.50厘米,纸,无图片,1
书法,暂无,书法,大型竖幅书法纸本作品。中央以遒劲笔触书写的无字，体现了道家思想的核心概念虚无。该字书写于《道德经》前两章经文背景之上，卷首铭文为：道可道，非常道；/…,2001.0,书法家：王冬龄,高度：309厘米（含背纸）| 高度：272厘米 | 宽度：165.50厘米（含背纸） | 宽度：142.50厘米,纸,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_6/1d6b4d03_a231_46d0_b762_a3bf007192ca/mid_00483169_001.jpg,1
书法,暂无,书法,两幅书法卷轴，纸本墨迹。八字以甲骨文与篆书结合的风格书写，内容为孔子名言：“修身以立耻，博学以广知。”,2002.0,书法家：黄苗子,高度：138厘米 | 宽度：34厘米,纸,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_4/79302e9f_8e32_4843_b6b9_a3bb00443a95/mid_00297754_001.jpg,1
书法；绘画,暂无,书法 | 绘画,书法作品，纸本墨迹。艺术家运用飞白技法，既勾勒出优雅的曲线与线条，其间的留白又象征着梦幻或转瞬即逝的意境。,1997.0,作者：张大我,高度：73.30厘米（含衬纸高度）| 高度：56.70厘米（原始纸张高度）| 宽度：67.30厘米（原始纸张高度）| 宽度：63.50厘米（含衬纸宽度）,纸,https://media.britishmuseum.org/media/Repository/Documents/2014_10/13_12/d8d5d5e0_5979_4235_87e7_a3c300d32aab/mid_00800853_001.jpg,1
书法,暂无,书法,"毛泽东书法放大复制品。此作品书写了他本人于1935年创作的《七律·长征》诗篇，记录了红军为突破国民党军队围追堵截、奔赴革命圣地延安而跨越万水千山的非凡历程：
......万水千山只等闲......三军......",2002.0,书法作者：毛泽东,高度：36厘米 | 宽度：145厘米,纸,无图片,1
烛台,清朝,烛台,绿釉灯，足部微外撇呈阶梯状，上部环绕宽边灯盘。,2000.0,不明,高度：22厘米,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_11/1_5/a98a716a_d50a_4ef3_a524_a3d6005a9bca/mid_01060612_001.jpg,1
烛台,暂无,烛台,金属钉烛台。炻器，饰有开片青釉及釉下“福”字。,1915.0,不明,直径：9厘米 | 高度：5.50厘米,陶器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/13_18/35fa4746_3f6d_4cce_bdba_a3c30129a40c/mid_00821190_001.jpg,1
烛台,明朝,烛台,烛台。三足兽形底座，顶部为莲花瓣状开口。青铜材质。,1986.0,不明,高度：29厘米,青铜,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_16/6700f90f_7eff_4c69_897f_a3b50109e2b2/mid_00142370_001.jpg,1
烛台（尖钉式）,明朝 | 万历,烛台,素胎五彩瓷烛台。此烛台由四层部件叠落而成，底部为四边外展式方座，中部环绕宽大承盘，修长锥形颈柱顶端承接窄边方盏。颈部饰有青花大明万历年制款识，通体以茄皮紫与松石绿釉彩绘云龙纹……（查看完整描述）,1930.0,不明,高度：74.50厘米（整体）| 高度：27.40厘米（仅底部）| 高度：15.60厘米（仅次底部）| 高度：38.50厘米（仅次顶部）| 高度：7.30厘米（仅顶部）| 重量：24.35千克（整体）| 重量：12.50千克（仅底部）| 重量：7千克（仅次底部）| 重量：3.60千克（仅次顶部）| 重量：1.25千克（仅顶部）| 宽度：34.10厘米（仅底部）| 宽度：35.60厘米（仅次底部）| 宽度：14.10厘米（仅次顶部）| 宽度：16.20厘米（仅顶部）| 深度：34.10厘米（仅底部）| 深度：35.70厘米（仅次底部）| 深度：14.60厘米（仅次顶部）| 深度：16.20厘米（仅顶部）,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_6/8d08d213_c400_40d3_a4b9_a3bb006b47df/mid_00309222_001.jpg,1
烛台（尖钉式）,明朝 | 万历,烛台,素胎釉彩瓷烛台。由四层叠置部件组成，底部为四面喇叭形基座，中部环绕宽大承盘。细长锥形颈部顶端承接方形窄盏，颈部饰有青花万历年制底款，通体以茄皮紫与松石绿釉彩绘云龙纹饰......（查看完整描述）,1930.0,不明,高度：74.20厘米（整体）| 高度：27.30厘米（仅底部）| 高度：15.30厘米（仅底部第二节）| 高度：38.80厘米（仅顶部第二节）| 高度：7.50厘米（仅顶部）| 重量：23.85公斤（整体）| 重量：12公斤（仅底部）| 重量：7公斤（仅底部第二节）| 重量：3.60公斤（仅顶部第二节）| 重量：1.25公斤（仅顶部）| 宽度：33.70厘米（仅底部）| 宽度：35.80厘米（仅底部第二节）| 宽度：14.80厘米（仅顶部第二节）| 宽度：16.20厘米（仅顶部）| 深度：33.80厘米（仅底部）| 深度：35.90厘米（仅底部第二节）| 深度：14.90厘米（仅顶部第二节）| 深度：16.20厘米（仅顶部）,瓷器,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_6/8d08d213_c400_40d3_a4b9_a3bb006b47df/mid_00309222_001.jpg,1
华盖；纺织品；华盖（中文）；纺织品（中文）,唐代 | 五代,华盖 | 纺织品,一块未经染色的长方形麻布残片，采用1/1平纹织法，两侧各保留0.7厘米宽的布边，织机幅宽为53厘米。此残片可能原用作华盖。中央绘有仿圆形徽章的褐色图案，内圈环绕八朵小花。二十二个象征花瓣的三角形分作两层排列......,1919.0,不明,高度：53厘米 | 宽度：49.50厘米,麻,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_16/7b04095b_e5e0_4766_9102_a3bb01084f2d/mid_00000440_005.jpg,1
帽子；礼帽,暂无,帽子,帽子，富人用丝绸、银线、绳线和棉布制成的礼帽。,1895.0,不明,直径：17厘米 | 高度：10厘米,丝绸 | 银 | 棉花,https://media.britishmuseum.org/media/Repository/Documents/2017_9/7_11/fde1b730_9c66_4aa2_9060_a7e700c0e2c4/mid_DSC_0317.jpg,1
帽子；礼帽,暂无,帽子,帽子，富人佩戴的纺织品（丝绸）制帽，饰有金属线（金）、绳（丝绸）、纺织品（棉）。梅子色自花纹绸缎帽，顶部饰有红色丝绳结，内衬红色棉布；边缘镶有金属线织物，相同金属线织物从顶部中央绳结向外辐射，在帽面形成六个三角形区块。,1895.0,不明,直径：18厘米 | 高度：12厘米,丝绸 | 棉花 | 纸张,https://media.britishmuseum.org/media/Repository/Documents/2015_12/17_14/fc491e84_6ac0_4226_9f23_a57100e72a5e/mid_India_textile_photos__39_.jpg,1
帽子,暂无,帽子,布制（毡）渔夫帽,1889.0,不明,直径：20厘米 | 高度：12厘米,羊毛（？）,https://media.britishmuseum.org/media/Repository/Documents/2017_9/7_11/b138ef4f_99c0_45b0_afb6_a7e700b6143f/mid_DSC_0295.jpg,1
帽；头饰,暂无,帽子 | 头饰,新娘头饰，由镀金银丝、珐琅、珍珠、羽毛[翠鸟]、玻璃珠和珊瑚制成。包括额饰带（可能用于前额？）、一对耳环及发簪。,1871.0,不明,"高度：5.60厘米（发带b）  
高度：8.60厘米（耳环c）  
高度：8厘米（耳环d）  
高度：18厘米（头饰a）  
高度：5.20厘米（发簪e）  

重量：31克（发带b）  
重量：9克（耳环c）  
重量：10克（耳环d）  
重量：905克（头饰a）  
重量：9克（发簪e）  

宽度：21.60厘米（发带b）  
宽度：2.20厘米（耳环c）  
宽度：2.20厘米（耳环d）  
宽度：24厘米（头饰a）  
宽度：19厘米（发簪e）  

厚度：1.90厘米（发带b）  
厚度：2.10厘米（耳环c）  
厚度：2厘米（耳环d）  
厚度：18.40厘米（头饰a）  
厚度：5厘米（发簪e）",银 | 金 | 珐琅 | 珍珠 | 玻璃 | 珊瑚 | 羽毛（翠鸟？）,https://media.britishmuseum.org/media/Repository/Documents/2014_11/9_16/3e611c3f_0c52_434a_93a2_a3de010d388d/mid_01447638_001.jpg,1
披肩,暂无,斗篷,"1987年登记册
一件丝质衬里斗篷，饰以棕白双色羽毛，领口镶有蓝色缎带滚边。",1987.0,不明,长度：51厘米 | 宽度：74厘米（登记簿记载为70厘米）,羽毛 | 丝绸 | 羊毛,https://media.britishmuseum.org/media/Repository/Documents/2022_12/14_17/e7ba037a_a62b_4a3a_84a2_af6b0121d81d/mid_EAF59891_a.jpg,1
首都；建筑,暂无,首都 | 建筑,木制圆柱柱头。器物上部为方形切割，四角饰有茛苕叶纹。,1917.0,不明,高度：12.70厘米,木,https://media.britishmuseum.org/media/Repository/Documents/2014_11/3_14/93c081b7_07fd_4b3d_b0ef_a3d800ebf309/mid_01144350_001.jpg,1
卡（会员卡）；样本,暂无,卡片 | 标本,中国工艺美术品协会会员卡（整体）（整体）| 金色背景。右上角印有协会标志。底部标注卡片详细信息（正面）（正面）| 金色背景。顶部设磁条区域。中英文使用说明（背面）（背面）,2006.0,不明,高度：54毫米 | 宽度：85毫米,塑料,无图片,1
卡片,暂无,卡,餐厅点餐卡。白底蓝字印刷。背面有手写备注。,暂无,不明,高度：131毫米 | 宽度：84毫米,纸板,无图片,1
